                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 1.3148,                 1.0607,                 1.5063,                0.80406,                0.68501,                0.72768,                0.43453,                 1.5092,                 1.0289,                 1.6865,               0.001189,               0.001189,               0.001189
                     92,                  1.297,                 1.0237,                 1.4859,                0.80235,                0.69196,                0.73085,                0.43574,                 1.5064,                  1.026,                 1.6841,                0.00109,                0.00109,                0.00109
                     93,                 1.2829,                  1.004,                 1.4808,                 0.8077,                 0.6937,                0.73201,                0.43828,                 1.5075,                 1.0225,                 1.6894,               0.000991,               0.000991,               0.000991
                     94,                  1.278,                0.99801,                 1.4749,                0.80583,                0.69714,                 0.7334,                0.44098,                 1.5082,                 1.0203,                 1.6908,               0.000892,               0.000892,               0.000892
                     95,                  1.265,                0.98896,                 1.4729,                0.81566,                0.69743,                0.73607,                0.44218,                 1.5077,                 1.0161,                 1.6898,               0.000793,               0.000793,               0.000793
                     96,                 1.2658,                 0.9827,                 1.4634,                0.81839,                 0.6959,                0.73775,                0.44333,                 1.5051,                  1.015,                 1.6885,               0.000694,               0.000694,               0.000694
                     97,                  1.247,                0.97028,                 1.4561,                0.82445,                 0.6979,                0.73898,                0.44292,                 1.5032,                 1.0128,                 1.6875,               0.000595,               0.000595,               0.000595
                     98,                 1.2506,                0.97126,                 1.4561,                0.82364,                0.69971,                0.74014,                0.44443,                 1.5021,                 1.0093,                 1.6863,               0.000496,               0.000496,               0.000496
                     99,                 1.2352,                0.95964,                 1.4396,                0.82514,                0.70086,                0.73921,                0.44483,                 1.5018,                 1.0067,                 1.6866,               0.000397,               0.000397,               0.000397
                    100,                 1.2329,                0.95534,                 1.4367,                0.82823,                0.70017,                0.73873,                0.44596,                 1.5012,                 1.0052,                 1.6862,               0.000298,               0.000298,               0.000298
